head_node,relation,tail_node
ukb-a-176,rg_greaterthan_0.5,ukb-d-I9_CORATHER
ukb-a-176,rg_greaterthan_0.5,ukb-d-I9_CHD
ukb-a-176,rg_greaterthan_0.5,ukb-a-534
ukb-a-176,rg_greaterthan_0.5,ukb-a-533
ukb-a-176,rg_greaterthan_0.5,ukb-a-532
ukb-a-176,rg_greaterthan_0.5,ukb-b-14395
ukb-a-176,rg_greaterthan_0.5,ukb-b-11605
ukb-a-176,rg_greaterthan_0.5,ukb-b-7137
ukb-a-176,rg_greaterthan_0.5,ukb-b-18009
ukb-a-176,rg_greaterthan_0.5,ukb-a-437
ukb-a-176,rg_greaterthan_0.5,ukb-b-14177
ukb-a-176,rg_greaterthan_0.5,ukb-a-436
ukb-a-176,rg_greaterthan_0.5,ukb-b-8468
ukb-a-176,rg_greaterthan_0.5,ukb-b-11590
ukb-a-176,rg_greaterthan_0.5,ukb-a-434
ukb-a-176,rg_greaterthan_0.5,ukb-b-1867
ukb-a-176,rg_greaterthan_0.5,ukb-b-11749
ukb-a-176,rg_greaterthan_0.5,ukb-b-1260
ukb-a-176,rg_greaterthan_0.5,ukb-d-41231_1
ukb-a-176,rg_greaterthan_0.5,ukb-d-41215_0
ukb-a-176,rg_greaterthan_0.5,ukb-b-20292
ukb-a-176,rg_greaterthan_0.5,ukb-a-310
ukb-a-176,rg_greaterthan_0.5,ukb-b-10753
ukb-a-176,rg_greaterthan_0.5,ukb-a-306
ukb-a-176,rg_greaterthan_0.5,ukb-b-13764
ukb-a-176,rg_greaterthan_0.5,ukb-a-251
ukb-a-176,rg_greaterthan_0.5,ukb-b-6306
ukb-a-176,rg_greaterthan_0.5,ukb-b-8746
ukb-a-176,rg_greaterthan_0.5,ukb-a-222
ukb-a-176,rg_greaterthan_0.5,ukb-b-14371
ukb-a-176,rg_greaterthan_0.5,ukb-a-217
ukb-a-176,rg_greaterthan_0.5,ukb-a-209
ukb-a-176,rg_greaterthan_0.5,ukb-b-12477
ukb-a-176,rg_greaterthan_0.5,ukb-b-18408
ukb-a-176,rg_greaterthan_0.5,ukb-a-201
ukb-a-176,rg_greaterthan_0.5,ukb-a-193
ukb-a-176,rg_greaterthan_0.5,ukb-b-18799
ukb-a-176,rg_greaterthan_0.5,ukb-b-14609
ukb-a-176,rg_greaterthan_0.5,ukb-a-159
ukb-a-176,rg_greaterthan_0.5,ukb-b-9207
ukb-a-176,rg_greaterthan_0.5,ukb-a-150
ukb-a-176,rg_greaterthan_0.5,ukb-a-132
ukb-a-176,rg_greaterthan_0.5,ukb-b-8755
ukb-a-176,rg_greaterthan_0.5,ukb-b-11632
ukb-a-176,rg_greaterthan_0.5,ukb-a-131
ukb-a-176,rg_greaterthan_0.5,ukb-b-14960
ukb-a-176,rg_greaterthan_0.5,ukb-a-129
ukb-a-176,rg_greaterthan_0.5,ukb-a-126
ukb-a-176,rg_greaterthan_0.5,ukb-b-19156
ukb-a-176,rg_greaterthan_0.5,ukb-a-117
ukb-a-176,rg_greaterthan_0.5,ukb-b-11895
ukb-a-176,rg_greaterthan_0.5,ukb-a-116
ukb-a-176,rg_greaterthan_0.5,ukb-b-12095
ukb-a-176,rg_greaterthan_0.5,ukb-b-12948
ukb-a-176,rg_greaterthan_0.5,ukb-b-15829
ukb-a-176,rg_greaterthan_0.5,ukb-b-8650
ukb-a-176,rg_greaterthan_0.5,ukb-b-14057
ukb-a-176,rg_greaterthan_0.5,ukb-d-1538_1
ukb-a-176,rg_greaterthan_0.5,ukb-a-24
ukb-a-176,rg_greaterthan_0.5,ukb-b-3656
ukb-a-176,rg_greaterthan_0.5,ukb-b-4063
ukb-a-176,rg_greaterthan_0.5,ukb-a-22
ukb-b-2535,rg_greaterthan_0.5,ukb-d-XVIII_MISCFINDINGS
ukb-b-2535,rg_greaterthan_0.5,ukb-d-XI_DIGESTIVE
ukb-b-2535,rg_greaterthan_0.5,ukb-d-XIX_INJURY_POISON
ukb-b-2535,rg_greaterthan_0.5,ukb-d-XIII_MUSCULOSKELET
ukb-b-2535,rg_greaterthan_0.5,ukb-d-VI_NERVOUS
ukb-b-2535,rg_greaterthan_0.5,ukb-d-ICDMAIN_ANY_ENTRY
ukb-b-2535,rg_greaterthan_0.5,ukb-b-7289
ukb-b-2535,rg_greaterthan_0.5,ukb-a-475
ukb-b-2535,rg_greaterthan_0.5,ukb-a-551
ukb-b-2535,rg_greaterthan_0.5,ukb-b-18596
ukb-b-2535,rg_greaterthan_0.5,ukb-a-472
ukb-b-2535,rg_greaterthan_0.5,ukb-a-477
ukb-b-2535,rg_greaterthan_0.5,ukb-b-1867
ukb-b-2535,rg_greaterthan_0.5,ukb-b-20214
ukb-b-2535,rg_greaterthan_0.5,ukb-a-476
ukb-b-2535,rg_greaterthan_0.5,ukb-b-16254
ukb-b-2535,rg_greaterthan_0.5,ukb-a-407
ukb-b-2535,rg_greaterthan_0.5,ukb-b-14080
ukb-b-2535,rg_greaterthan_0.5,ukb-b-18162
ukb-b-2535,rg_greaterthan_0.5,ukb-b-10387
ukb-b-2535,rg_greaterthan_0.5,ukb-a-381
ukb-b-2535,rg_greaterthan_0.5,ukb-b-2053
ukb-b-2535,rg_greaterthan_0.5,ukb-a-369
ukb-b-2535,rg_greaterthan_0.5,ukb-b-9543
ukb-b-2535,rg_greaterthan_0.5,ukb-a-380
ukb-b-2535,rg_greaterthan_0.5,ukb-b-11749
ukb-b-2535,rg_greaterthan_0.5,ukb-b-1260
ukb-b-2535,rg_greaterthan_0.5,ukb-b-20292
ukb-b-2535,rg_greaterthan_0.5,ukb-a-310
ukb-b-2535,rg_greaterthan_0.5,ukb-a-309
ukb-b-2535,rg_greaterthan_0.5,ukb-b-14961
ukb-b-2535,rg_greaterthan_0.5,ukb-b-13346
ukb-b-2535,rg_greaterthan_0.5,ukb-a-308
ukb-b-2535,rg_greaterthan_0.5,ukb-b-13764
ukb-b-2535,rg_greaterthan_0.5,ukb-b-12841
ukb-b-2535,rg_greaterthan_0.5,ukb-a-259
ukb-b-2535,rg_greaterthan_0.5,ukb-a-251
ukb-b-2535,rg_greaterthan_0.5,ukb-b-6306
ukb-b-2535,rg_greaterthan_0.5,ukb-b-8301
ukb-b-2535,rg_greaterthan_0.5,ukb-a-172
ukb-b-2535,rg_greaterthan_0.5,ukb-d-1538_1
ukb-b-2535,rg_greaterthan_0.5,ukb-b-6244
ukb-b-2535,rg_greaterthan_0.5,ukb-a-20
ukb-b-2535,rg_greaterthan_0.5,ukb-d-XVIII_MISCFINDINGS
ukb-b-2535,rg_greaterthan_0.5,ukb-d-XI_DIGESTIVE
ukb-b-2535,rg_greaterthan_0.5,ukb-d-XIX_INJURY_POISON
ukb-b-2535,rg_greaterthan_0.5,ukb-d-XIII_MUSCULOSKELET
ukb-b-2535,rg_greaterthan_0.5,ukb-d-VI_NERVOUS
ukb-b-2535,rg_greaterthan_0.5,ukb-a-551
ukb-b-2535,rg_greaterthan_0.5,ukb-d-ICDMAIN_ANY_ENTRY
ukb-b-2535,rg_greaterthan_0.5,ukb-a-477
ukb-b-2535,rg_greaterthan_0.5,ukb-a-476
ukb-b-2535,rg_greaterthan_0.5,ukb-b-16254
ukb-b-2535,rg_greaterthan_0.5,ukb-b-7289
ukb-b-2535,rg_greaterthan_0.5,ukb-a-475
ukb-b-2535,rg_greaterthan_0.5,ukb-b-18596
ukb-b-2535,rg_greaterthan_0.5,ukb-a-472
ukb-b-2535,rg_greaterthan_0.5,ukb-b-1867
ukb-b-2535,rg_greaterthan_0.5,ukb-b-20214
ukb-b-2535,rg_greaterthan_0.5,ukb-b-18162
ukb-b-2535,rg_greaterthan_0.5,ukb-a-407
ukb-b-2535,rg_greaterthan_0.5,ukb-b-14080
ukb-b-2535,rg_greaterthan_0.5,ukb-b-10387
ukb-b-2535,rg_greaterthan_0.5,ukb-a-381
ukb-b-2535,rg_greaterthan_0.5,ukb-b-9543
ukb-b-2535,rg_greaterthan_0.5,ukb-a-380
ukb-b-2535,rg_greaterthan_0.5,ukb-b-2053
ukb-b-2535,rg_greaterthan_0.5,ukb-a-369
ukb-b-2535,rg_greaterthan_0.5,ukb-b-11749
ukb-b-2535,rg_greaterthan_0.5,ukb-b-1260
ukb-b-2535,rg_greaterthan_0.5,ukb-b-20292
ukb-b-2535,rg_greaterthan_0.5,ukb-a-310
ukb-b-2535,rg_greaterthan_0.5,ukb-a-309
ukb-b-2535,rg_greaterthan_0.5,ukb-b-14961
ukb-b-2535,rg_greaterthan_0.5,ukb-b-13346
ukb-b-2535,rg_greaterthan_0.5,ukb-a-308
ukb-b-2535,rg_greaterthan_0.5,ukb-b-12841
ukb-b-2535,rg_greaterthan_0.5,ukb-a-259
ukb-b-2535,rg_greaterthan_0.5,ukb-b-13764
ukb-b-2535,rg_greaterthan_0.5,ukb-a-251
ukb-b-2535,rg_greaterthan_0.5,ukb-b-6306
